date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:31	8275/8275	---M--	200	added ('OK')	image/jpeg	etag:%22a7820c1-2053-5a5588617e128%22	http://fiisha.com/images/media/2020/05/medium1589174508WlKUO11705.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174508WlKUO11705.jpg	(from http://fiisha.com/)
05:53:33	212650/212650	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:59%20GMT	http://fiisha.com/product-detail/3-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/3-3.html	(from http://fiisha.com/)
05:53:33	5218/5218	---M--	200	added ('OK')	image/jpeg	etag:%22a782096-1462-5a556099be11f%22	http://fiisha.com/images/media/2020/05/medium1589163830QLDzz11902.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163830QLDzz11902.jpg	(from http://fiisha.com/)
05:53:36	201829/201829	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:02%20GMT	http://fiisha.com/product-detail/5-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/5-3.html	(from http://fiisha.com/)
05:53:37	193484/193484	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:03%20GMT	http://fiisha.com/product-detail/7-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/7-3.html	(from http://fiisha.com/)
05:53:38	5266/5266	---M--	200	added ('OK')	image/jpeg	etag:%22a782084-1492-5a5560977bf1e%22	http://fiisha.com/images/media/2020/05/medium1589163828PKbCZ11402.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163828PKbCZ11402.jpg	(from http://fiisha.com/)
05:53:41	204326/204326	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:07%20GMT	http://fiisha.com/product-detail/9-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/9-3.html	(from http://fiisha.com/)
05:53:41	4923/4923	---M--	200	added ('OK')	image/jpeg	etag:%22a78208a-133b-5a5560982b3ce%22	http://fiisha.com/images/media/2020/05/medium1589163828rlQAJ11902.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163828rlQAJ11902.jpg	(from http://fiisha.com/)
05:53:43	215641/215641	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:10%20GMT	http://fiisha.com/shop?type=special	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop72b6.html	(from http://fiisha.com/)
05:53:44	10117/10117	---M--	200	added ('OK')	image/jpeg	etag:%22a7820d3-2785-5a5588639c11e%22	http://fiisha.com/images/media/2020/05/medium1589174511VQ1YA11705.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174511VQ1YA11705.jpg	(from http://fiisha.com/)
05:53:45	157305/157305	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:48:12%20GMT	http://fiisha.com/product-detail/2400-19	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-19.html	(from http://fiisha.com/)
05:53:46	5218/5218	---M--	200	added ('OK')	image/jpeg	etag:%22a782094-1462-5a556099b40f7%22	http://fiisha.com/images/media/2020/05/medium1589163830lMd9d11502.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163830lMd9d11502.jpg	(from http://fiisha.com/)
